model,cv_scheme,rmse,score_100,mae,fit_seconds,n_folds
xgb,random_kfold,0.5647464321788028,94.35253567821196,0.3500273666926594,3.23528890000307,5
gpr,random_kfold,0.5915769065531278,94.08423093446872,0.37571740645944046,36.25507420000213,5
lgbm,random_kfold,0.6321389349089215,93.67861065091078,0.38350284760903147,1.9312901000084821,5
rf_organizer,random_kfold,0.6353085106048005,93.64691489395199,0.40671616924773357,1.472179899996263,5
curve,random_kfold,0.7282253007637632,92.71774699236236,0.4128094040731244,0.1982614000007743,5
rf_improved,random_kfold,0.7611465836457371,92.38853416354263,0.4818262301257289,3.642080599995097,5
ridge,random_kfold,0.9782238589910756,90.21776141008925,0.6004641325320142,0.25217209999391343,5
poly,random_kfold,1.0036521833711953,89.96347816628804,0.6302855846021443,0.20724790000531357,5
curve,time_holdout,0.6092517176658706,93.9074828233413,0.42737612459526647,0.052893400003085844,1
xgb,time_holdout,0.8362858341159201,91.6371416588408,0.5978417456670891,0.30178550000709947,1
lgbm,time_holdout,0.8478295419980934,91.52170458001908,0.6236784282235396,0.40157419999013655,1
rf_organizer,time_holdout,0.920388416532118,90.79611583467882,0.6567755184004256,0.2965435000078287,1
gpr,time_holdout,1.0125787108091169,89.87421289190884,0.6154143851314056,4.483600599996862,1
rf_improved,time_holdout,1.0677692780520356,89.32230721947964,0.7306306188609201,0.7203666999994311,1
ridge,time_holdout,1.2477347293607268,87.52265270639273,0.8619750858520094,0.06028590000641998,1
poly,time_holdout,1.409818440713985,85.90181559286015,0.9302450098033591,0.0860256999876583,1
