pigment_category,aging_condition,n,rmse,mae
中国画-其他,UV,3.0,0.21779687033272588,0.19577680131328093
中国画-曙红,UV,7.0,0.6778385553155352,0.5933180388265307
中国画-翡翠绿,UV,7.0,0.25887394217411314,0.198257657196318
中国画-钴蓝,UV,7.0,0.4047243006703994,0.26321920672766247
植物染料,UV,4.0,1.3338178174258764,1.0752430919370475
植物染料,humid-_heat,1.0,0.29015860514783576,0.29015860514783576
皮纸,UV,2.0,0.515862564722397,0.5156789607261536
皮纸,humid-_heat,2.0,0.5893900170043497,0.58015304156
矿物颜料,UV,3.0,0.2794275369181044,0.22717236564471768
颜彩,UV,3.0,0.5292552453744451,0.41082068720649567
